Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0446,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,15,D,3.0
19B81A0450,R1921043,SIGNALS AND SYSTEMS,13,F,0.0
19B81A0462,R1921041,ELECTRONIC DEVICES AND CIRCUITS,12,D,3.0
19B81A0462,R1921042,SWITCHING THEORY AND LOGIC DESIGN,12,F,0.0
19B81A0462,R1921043,SIGNALS AND SYSTEMS,12,C,3.0
19B81A0462,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,F,0.0
19B81A0468,R1921043,SIGNALS AND SYSTEMS,14,F,0.0
19B81A0468,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,F,0.0
19B81A0468,R1921045,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,13,F,0.0
19B81A0471,R1921045,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,12,F,0.0
19B81A0476,R1921043,SIGNALS AND SYSTEMS,14,C,3.0
19B81A0479,R1921026,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,14,F,0.0
19B81A0479,R1921043,SIGNALS AND SYSTEMS,13,F,0.0
19B81A0479,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,15,F,0.0
19B81A0480,R1921043,SIGNALS AND SYSTEMS,16,D,3.0
19B81A0482,R1921041,ELECTRONIC DEVICES AND CIRCUITS,15,D,3.0
19B81A0482,R1921043,SIGNALS AND SYSTEMS,13,F,0.0
19B81A0485,R1921043,SIGNALS AND SYSTEMS,14,D,3.0
19B81A0485,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,15,D,3.0
19B81A0487,R1921043,SIGNALS AND SYSTEMS,13,F,0.0
19B81A0490,R1921043,SIGNALS AND SYSTEMS,12,F,0.0
19B81A0491,R1921026,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,13,D,3.0
19B81A0491,R1921043,SIGNALS AND SYSTEMS,10,D,3.0
19B81A0491,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,14,D,3.0
19B81A0491,R1921045,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,14,F,0.0
19B81A0494,R1921043,SIGNALS AND SYSTEMS,12,F,0.0
19B81A0498,R1921043,SIGNALS AND SYSTEMS,15,D,3.0
19B81A04A3,R1921043,SIGNALS AND SYSTEMS,15,D,3.0
19B81A04A8,R1921041,ELECTRONIC DEVICES AND CIRCUITS,10,F,0.0
19B81A04A8,R1921042,SWITCHING THEORY AND LOGIC DESIGN,13,F,0.0
19B81A04A8,R1921043,SIGNALS AND SYSTEMS,14,F,0.0
19B81A04A8,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,11,F,0.0
19B81A04A8,R1921045,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,13,F,0.0
19B81A04B0,R1921043,SIGNALS AND SYSTEMS,16,D,3.0
19B81A04C3,R1921043,SIGNALS AND SYSTEMS,16,C,3.0
19B81A04C9,R1921042,SWITCHING THEORY AND LOGIC DESIGN,14,F,0.0
19B81A04C9,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,13,F,0.0
19B81A04D2,R1921043,SIGNALS AND SYSTEMS,15,D,3.0
19B81A04D2,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,16,D,3.0
19B81A04D2,R1921045,OBJECT ORIENTED PROGRAMMING THROUGH JAVA,11,D,3.0
19B81A04D5,R1921041,ELECTRONIC DEVICES AND CIRCUITS,11,F,0.0
19B81A04D5,R1921042,SWITCHING THEORY AND LOGIC DESIGN,14,F,0.0
19B81A04D5,R1921043,SIGNALS AND SYSTEMS,15,F,0.0
19B81A04D5,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,14,F,0.0
19B81A04D8,R1921043,SIGNALS AND SYSTEMS,15,C,3.0
19B81A04E1,R1921042,SWITCHING THEORY AND LOGIC DESIGN,19,F,0.0
19B81A04E1,R1921043,SIGNALS AND SYSTEMS,19,ABSENT,0.0
19B81A04E7,R1921041,ELECTRONIC DEVICES AND CIRCUITS,12,F,0.0
19B81A04E7,R1921043,SIGNALS AND SYSTEMS,12,F,0.0
19B81A04E7,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,12,F,0.0
19B81A04F2,R1921041,ELECTRONIC DEVICES AND CIRCUITS,12,F,0.0
19B81A04F2,R1921043,SIGNALS AND SYSTEMS,18,F,0.0
19B81A04F4,R1921041,ELECTRONIC DEVICES AND CIRCUITS,11,D,3.0
19B81A04F4,R1921043,SIGNALS AND SYSTEMS,14,F,0.0
19B81A04G1,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,16,F,0.0
19B81A04G3,R1921043,SIGNALS AND SYSTEMS,15,F,0.0
19B81A04G4,R1921041,ELECTRONIC DEVICES AND CIRCUITS,16,F,0.0
19B81A04G4,R1921042,SWITCHING THEORY AND LOGIC DESIGN,16,F,0.0
19B81A04G4,R1921043,SIGNALS AND SYSTEMS,16,F,0.0
19B81A04G5,R1921043,SIGNALS AND SYSTEMS,20,C,3.0
19B81A04G5,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,17,F,0.0
19B81A04G8,R1921043,SIGNALS AND SYSTEMS,12,D,3.0
19B81A04H7,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,16,D,3.0
19B81A04I4,R1921044,RANDOM VARIABLES AND STOCHASTIC PROCESSE,17,F,0.0
19B81A0504,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,14,F,0.0
19B81A0504,R1921053,PYTHON PROGRAMMING,12,F,0.0
19B81A0504,R1921054,DATA STRUCTURES,11,F,0.0
19B81A0504,R1921055,OBJECT ORIENTED PROGRAMMING THROUGH C++,11,D,3.0
19B81A0504,R1921056,COMPUTER ORGANIZATION,9,F,0.0
19B81A0510,R1921055,OBJECT ORIENTED PROGRAMMING THROUGH C++,15,C,3.0
19B81A0512,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,14,F,0.0
19B81A0512,R1921053,PYTHON PROGRAMMING,12,F,0.0
19B81A0512,R1921054,DATA STRUCTURES,8,F,0.0
19B81A0512,R1921055,OBJECT ORIENTED PROGRAMMING THROUGH C++,16,D,3.0
19B81A0522,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,15,F,0.0
19B81A0522,R1921053,PYTHON PROGRAMMING,18,F,0.0
19B81A0522,R1921054,DATA STRUCTURES,12,F,0.0
19B81A0522,R1921055,OBJECT ORIENTED PROGRAMMING THROUGH C++,21,B,3.0
19B81A0522,R1921056,COMPUTER ORGANIZATION,16,F,0.0
19B81A0525,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,14,F,0.0
19B81A0525,R1921053,PYTHON PROGRAMMING,12,ABSENT,0.0
19B81A0525,R1921056,COMPUTER ORGANIZATION,14,ABSENT,0.0
19B81A0534,R1921053,PYTHON PROGRAMMING,15,F,0.0
19B81A0534,R1921054,DATA STRUCTURES,9,F,0.0
19B81A0534,R1921056,COMPUTER ORGANIZATION,11,F,0.0
19B81A0539,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,12,F,0.0
19B81A0539,R1921052,SOFTWARE ENGINEERING,10,F,0.0
19B81A0539,R1921053,PYTHON PROGRAMMING,12,F,0.0
19B81A0539,R1921054,DATA STRUCTURES,10,F,0.0
19B81A0539,R1921056,COMPUTER ORGANIZATION,12,F,0.0
19B81A0557,R1921052,SOFTWARE ENGINEERING,13,F,0.0
19B81A0557,R1921054,DATA STRUCTURES,12,F,0.0
19B81A0568,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,16,F,0.0
19B81A0568,R1921053,PYTHON PROGRAMMING,12,C,3.0
19B81A0568,R1921055,OBJECT ORIENTED PROGRAMMING THROUGH C++,11,F,0.0
19B81A05B9,R1921053,PYTHON PROGRAMMING,12,C,3.0
19B81A05C2,R1921053,PYTHON PROGRAMMING,15,C,3.0
19B81A05C7,R1921052,SOFTWARE ENGINEERING,12,ABSENT,0.0
19B81A05C7,R1921056,COMPUTER ORGANIZATION,12,ABSENT,0.0
19B81A05D1,R1921052,SOFTWARE ENGINEERING,14,C,3.0
19B81A05E1,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,15,F,0.0
19B81A05E1,R1921053,PYTHON PROGRAMMING,11,F,0.0
19B81A05E1,R1921054,DATA STRUCTURES,9,F,0.0
19B81A05E1,R1921055,OBJECT ORIENTED PROGRAMMING THROUGH C++,18,ABSENT,0.0
19B81A05F1,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,14,ABSENT,0.0
19B81A05F1,R1921053,PYTHON PROGRAMMING,14,A,3.0
19B81A05F1,R1921054,DATA STRUCTURES,12,D,3.0
19B81A05F9,R1921053,PYTHON PROGRAMMING,14,ABSENT,0.0
19B81A05H3,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,15,D,4.0
19B81A05H3,R1921053,PYTHON PROGRAMMING,15,B,3.0
19B81A05H3,R1921054,DATA STRUCTURES,14,D,3.0
19B81A05I7,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,17,C,4.0
19B81A1203,R1921122,PRINCIPLES OF SOFTWARE ENGINEERING,20,F,0.0
19B81A1217,R1921053,PYTHON PROGRAMMING,18,A,3.0
19B81A1217,R1921054,DATA STRUCTURES,16,C,3.0
19B81A1217,R1921056,COMPUTER ORGANIZATION,16,C,3.0
19B81A1217,R1921121,DISCRETE MATHEMATICAL STRUCTURES,15,D,3.0
19B81A1217,R1921122,PRINCIPLES OF SOFTWARE ENGINEERING,13,C,3.0
19B81A1217,R1921123,OBJECT ORIENTED PROGRAMMING THROUGH C++,13,D,3.0
19B81A1219,R1921056,COMPUTER ORGANIZATION,18,C,3.0
19B81A1225,R1921053,PYTHON PROGRAMMING,17,A,3.0
19B81A1237,R1921053,PYTHON PROGRAMMING,16,C,3.0
19B81A1237,R1921121,DISCRETE MATHEMATICAL STRUCTURES,14,D,3.0
19B81A1237,R1921123,OBJECT ORIENTED PROGRAMMING THROUGH C++,11,F,0.0
19B81A1255,R1921053,PYTHON PROGRAMMING,18,B,3.0
19B81A1255,R1921056,COMPUTER ORGANIZATION,16,D,3.0
19B81A1255,R1921123,OBJECT ORIENTED PROGRAMMING THROUGH C++,14,F,0.0
19B81A1257,R1921053,PYTHON PROGRAMMING,18,ABSENT,0.0
19B81A1257,R1921123,OBJECT ORIENTED PROGRAMMING THROUGH C++,13,F,0.0
19B81A1269,R1921053,PYTHON PROGRAMMING,20,F,0.0
19B81A1269,R1921054,DATA STRUCTURES,21,ABSENT,0.0
19B81A1269,R1921121,DISCRETE MATHEMATICAL STRUCTURES,14,F,0.0
19B81A1272,R1921053,PYTHON PROGRAMMING,16,F,0.0
19B81A1272,R1921054,DATA STRUCTURES,18,D,3.0
19B81A1289,R1921053,PYTHON PROGRAMMING,17,F,0.0
19B81A1289,R1921054,DATA STRUCTURES,17,ABSENT,0.0
19B81A1299,R1921053,PYTHON PROGRAMMING,19,C,3.0
19B81A12A6,R1921053,PYTHON PROGRAMMING,23,S,3.0
19B81A12B1,R1921053,PYTHON PROGRAMMING,18,F,0.0
19B81A12B2,R1921053,PYTHON PROGRAMMING,19,F,0.0
19B81A12B4,R1921053,PYTHON PROGRAMMING,19,D,3.0
19HK1A0506,R1921053,PYTHON PROGRAMMING,23,B,3.0
19HK1A0508,R1921051,MATHEMATICAL FOUNDATIONS OF COMPUTER SCI,20,C,4.0
20B81A0101,R2021011,MATHEMATICS-III,12,F,0.0
20B81A0101,R2021012,STRENGTH OF MATERIALS-I,13,F,0.0
20B81A0101,R2021013,FLUID MECHANICS,15,F,0.0
20B81A0102,R2021011,MATHEMATICS-III,21,D,3.0
20B81A0103,R2021011,MATHEMATICS-III,22,D,3.0
20B81A0104,R2021011,MATHEMATICS-III,23,C,3.0
20B81A0104,R2021012,STRENGTH OF MATERIALS-I,20,D,3.0
20B81A0105,R2021012,STRENGTH OF MATERIALS-I,21,C,3.0
20B81A0106,R2021012,STRENGTH OF MATERIALS-I,19,C,3.0
20B81A0107,R2021011,MATHEMATICS-III,22,F,0.0
20B81A0107,R2021012,STRENGTH OF MATERIALS-I,15,E,3.0
20B81A0107,R2021013,FLUID MECHANICS,19,F,0.0
20B81A0107,R2021014,SURVEYING AND GEOMETRICS,14,E,3.0
20B81A0108,R2021012,STRENGTH OF MATERIALS-I,18,F,0.0
20B81A0108,R2021013,FLUID MECHANICS,23,F,0.0
20B81A0109,R2021011,MATHEMATICS-III,14,ABSENT,0.0
20B81A0109,R2021012,STRENGTH OF MATERIALS-I,13,F,0.0
20B81A0109,R2021013,FLUID MECHANICS,14,F,0.0
20B81A0109,R2021014,SURVEYING AND GEOMETRICS,11,F,0.0
20B81A0109,R2021015,HIGHWAY ENGINEERING,10,F,0.0
20B81A0110,R2021011,MATHEMATICS-III,23,D,3.0
20B81A0110,R2021012,STRENGTH OF MATERIALS-I,20,F,0.0
20B81A0111,R2021011,MATHEMATICS-III,21,D,3.0
20B81A0111,R2021012,STRENGTH OF MATERIALS-I,18,F,0.0
20B81A0111,R2021014,SURVEYING AND GEOMETRICS,18,F,0.0
20B81A0112,R2021011,MATHEMATICS-III,22,F,0.0
20B81A0112,R2021012,STRENGTH OF MATERIALS-I,16,F,0.0
20B81A0112,R2021014,SURVEYING AND GEOMETRICS,21,F,0.0
20B81A0114,R2021011,MATHEMATICS-III,23,C,3.0
20B81A0114,R2021012,STRENGTH OF MATERIALS-I,17,D,3.0
20B81A0115,R2021011,MATHEMATICS-III,21,F,0.0
20B81A0115,R2021012,STRENGTH OF MATERIALS-I,15,F,0.0
20B81A0115,R2021014,SURVEYING AND GEOMETRICS,19,F,0.0
20B81A0116,R2021011,MATHEMATICS-III,19,F,0.0
20B81A0116,R2021012,STRENGTH OF MATERIALS-I,14,F,0.0
20B81A0116,R2021013,FLUID MECHANICS,20,F,0.0
20B81A0121,R2021011,MATHEMATICS-III,21,F,0.0
20B81A0121,R2021012,STRENGTH OF MATERIALS-I,21,E,3.0
20B81A0121,R2021013,FLUID MECHANICS,19,E,3.0
20B81A0122,R2021011,MATHEMATICS-III,23,D,3.0
20B81A0124,R2021011,MATHEMATICS-III,24,D,3.0
20B81A0128,R2021014,SURVEYING AND GEOMETRICS,16,F,0.0
20B81A0130,R2021011,MATHEMATICS-III,25,D,3.0
20B81A0132,R2021011,MATHEMATICS-III,16,F,0.0
20B81A0132,R2021014,SURVEYING AND GEOMETRICS,17,F,0.0
20B81A0132,R2021015,HIGHWAY ENGINEERING,14,E,3.0
20B81A0133,R2021011,MATHEMATICS-III,23,F,0.0
20B81A0133,R2021012,STRENGTH OF MATERIALS-I,18,D,3.0
20B81A0133,R2021013,FLUID MECHANICS,22,D,3.0
20B81A0133,R2021015,HIGHWAY ENGINEERING,21,D,3.0
20B81A0134,R2021011,MATHEMATICS-III,20,E,3.0
20B81A0134,R2021012,STRENGTH OF MATERIALS-I,16,E,3.0
20B81A0136,R2021011,MATHEMATICS-III,21,F,0.0
20B81A0136,R2021014,SURVEYING AND GEOMETRICS,16,F,0.0
20B81A0137,R2021011,MATHEMATICS-III,21,F,0.0
20B81A0137,R2021012,STRENGTH OF MATERIALS-I,19,F,0.0
20B81A0140,R2021011,MATHEMATICS-III,23,D,3.0
20B81A0140,R2021012,STRENGTH OF MATERIALS-I,15,E,3.0
20B81A0140,R2021013,FLUID MECHANICS,16,E,3.0
20B81A0140,R2021014,SURVEYING AND GEOMETRICS,18,E,3.0
20B81A0140,R2021015,HIGHWAY ENGINEERING,14,E,3.0
20B81A0141,R2021011,MATHEMATICS-III,22,F,0.0
20B81A0141,R2021012,STRENGTH OF MATERIALS-I,13,F,0.0
20B81A0142,R2021011,MATHEMATICS-III,24,D,3.0
20B81A0142,R2021012,STRENGTH OF MATERIALS-I,15,E,3.0
20B81A0142,R2021013,FLUID MECHANICS,19,E,3.0
20B81A0142,R2021014,SURVEYING AND GEOMETRICS,18,F,0.0
20B81A0142,R2021015,HIGHWAY ENGINEERING,22,E,3.0
20B81A0143,R2021011,MATHEMATICS-III,19,D,3.0
20B81A0144,R2021011,MATHEMATICS-III,20,D,3.0
20B81A0144,R2021012,STRENGTH OF MATERIALS-I,16,F,0.0
20B81A0144,R2021013,FLUID MECHANICS,24,F,0.0
20B81A0144,R2021014,SURVEYING AND GEOMETRICS,15,E,3.0
20B81A0144,R2021015,HIGHWAY ENGINEERING,18,E,3.0
20B81A0145,R2021011,MATHEMATICS-III,24,F,0.0
20B81A0145,R2021012,STRENGTH OF MATERIALS-I,19,F,0.0
20B81A0145,R2021015,HIGHWAY ENGINEERING,19,D,3.0
20B81A0146,R2021011,MATHEMATICS-III,25,F,0.0
20B81A0146,R2021012,STRENGTH OF MATERIALS-I,20,E,3.0
20B81A0146,R2021014,SURVEYING AND GEOMETRICS,18,D,3.0
20B81A0147,R2021011,MATHEMATICS-III,19,F,0.0
20B81A0147,R2021012,STRENGTH OF MATERIALS-I,16,F,0.0
20B81A0147,R2021013,FLUID MECHANICS,20,D,3.0
20B81A0201,R2021022,ELECTRONIC DEVICES AND CIRCUITS,19,E,3.0
20B81A0201,R2021023,ELECTRICAL CIRCUIT ANALYSIS-II,24,D,3.0
20B81A0202,R2021021,MATHEMATICS-IV,24,B,3.0
20B81A0202,R2021023,ELECTRICAL CIRCUIT ANALYSIS-II,25,D,3.0
20B81A0205,R2021021,MATHEMATICS-IV,16,F,0.0
