Htno,Subcode,Subname,Internals,Grade,Credits
19B81A0302,R1922033,APPLIED THERMODYNAMICS,24,C,3.0
19B81A0302,R1922036,DESIGN OF MACHINE MEMBERS-I,18,C,3.0
19B81A0303,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,0,F,0.0
19B81A0303,R1922032,KINEMATICS OF MACHINERY,14,F,0.0
19B81A0303,R1922033,APPLIED THERMODYNAMICS,17,F,0.0
19B81A0303,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,5,F,0.0
19B81A0303,R1922035,METAL CUTTING & MACHINE TOOLS,5,F,0.0
19B81A0303,R1922036,DESIGN OF MACHINE MEMBERS-I,5,F,0.0
19B81A0304,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,23,F,0.0
19B81A0304,R1922032,KINEMATICS OF MACHINERY,19,F,0.0
19B81A0304,R1922033,APPLIED THERMODYNAMICS,18,D,3.0
19B81A0304,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,11,F,0.0
19B81A0304,R1922035,METAL CUTTING & MACHINE TOOLS,20,C,3.0
19B81A0304,R1922036,DESIGN OF MACHINE MEMBERS-I,18,F,0.0
19B81A0307,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,24,F,0.0
19B81A0307,R1922033,APPLIED THERMODYNAMICS,24,F,0.0
19B81A0307,R1922035,METAL CUTTING & MACHINE TOOLS,23,C,3.0
19B81A0307,R1922036,DESIGN OF MACHINE MEMBERS-I,23,F,0.0
19B81A0309,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,19,F,0.0
19B81A0309,R1922032,KINEMATICS OF MACHINERY,20,F,0.0
19B81A0311,R1922032,KINEMATICS OF MACHINERY,18,C,3.0
19B81A0311,R1922033,APPLIED THERMODYNAMICS,14,ABSENT,0.0
19B81A0311,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,10,F,0.0
19B81A0312,R1922033,APPLIED THERMODYNAMICS,21,C,3.0
19B81A0316,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,16,F,0.0
19B81A0316,R1922032,KINEMATICS OF MACHINERY,22,C,3.0
19B81A0316,R1922033,APPLIED THERMODYNAMICS,23,D,3.0
19B81A0316,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,12,D,3.0
19B81A0316,R1922036,DESIGN OF MACHINE MEMBERS-I,19,ABSENT,0.0
19B81A0324,R1922032,KINEMATICS OF MACHINERY,19,C,3.0
19B81A0324,R1922033,APPLIED THERMODYNAMICS,21,F,0.0
19B81A0327,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,12,D,3.0
19B81A0330,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,24,F,0.0
19B81A0330,R1922032,KINEMATICS OF MACHINERY,19,F,0.0
19B81A0330,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,14,F,0.0
19B81A0331,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,19,F,0.0
19B81A0331,R1922032,KINEMATICS OF MACHINERY,17,F,0.0
19B81A0331,R1922033,APPLIED THERMODYNAMICS,18,F,0.0
19B81A0331,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,8,ABSENT,0.0
19B81A0331,R1922035,METAL CUTTING & MACHINE TOOLS,17,F,0.0
19B81A0331,R1922036,DESIGN OF MACHINE MEMBERS-I,15,F,0.0
19B81A0333,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,20,F,0.0
19B81A0333,R1922032,KINEMATICS OF MACHINERY,21,F,0.0
19B81A0333,R1922033,APPLIED THERMODYNAMICS,23,F,0.0
19B81A0333,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,14,F,0.0
19B81A0333,R1922036,DESIGN OF MACHINE MEMBERS-I,17,F,0.0
19B81A0334,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,20,F,0.0
19B81A0334,R1922033,APPLIED THERMODYNAMICS,23,F,0.0
19B81A0334,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,13,F,0.0
19B81A0334,R1922035,METAL CUTTING & MACHINE TOOLS,21,F,0.0
19B81A0334,R1922036,DESIGN OF MACHINE MEMBERS-I,18,F,0.0
19B81A0335,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,12,F,0.0
19B81A0335,R1922032,KINEMATICS OF MACHINERY,18,F,0.0
19B81A0335,R1922033,APPLIED THERMODYNAMICS,18,F,0.0
19B81A0335,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,9,ABSENT,0.0
19B81A0335,R1922036,DESIGN OF MACHINE MEMBERS-I,18,F,0.0
19B81A0337,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,21,D,3.0
19B81A0337,R1922032,KINEMATICS OF MACHINERY,23,C,3.0
19B81A0342,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,23,F,0.0
19B81A0342,R1922036,DESIGN OF MACHINE MEMBERS-I,22,A,3.0
19B81A0344,R1922033,APPLIED THERMODYNAMICS,22,F,0.0
19B81A0344,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,17,F,0.0
19B81A0346,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,21,F,0.0
19B81A0346,R1922033,APPLIED THERMODYNAMICS,23,F,0.0
19B81A0346,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,19,F,0.0
19B81A0348,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,22,F,0.0
19B81A0348,R1922033,APPLIED THERMODYNAMICS,24,C,3.0
19B81A0348,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,20,C,3.0
19B81A0348,R1922035,METAL CUTTING & MACHINE TOOLS,24,A,3.0
19B81A0348,R1922036,DESIGN OF MACHINE MEMBERS-I,22,F,0.0
19B81A0350,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,22,F,0.0
19B81A0350,R1922032,KINEMATICS OF MACHINERY,20,C,3.0
19B81A0350,R1922033,APPLIED THERMODYNAMICS,22,F,0.0
19B81A0350,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,15,F,0.0
19B81A0350,R1922035,METAL CUTTING & MACHINE TOOLS,22,D,3.0
19B81A0350,R1922036,DESIGN OF MACHINE MEMBERS-I,16,F,0.0
19B81A0351,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,22,F,0.0
19B81A0352,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,22,F,0.0
19B81A0352,R1922032,KINEMATICS OF MACHINERY,22,F,0.0
19B81A0352,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,19,F,0.0
19B81A0352,R1922035,METAL CUTTING & MACHINE TOOLS,23,F,0.0
19B81A0352,R1922036,DESIGN OF MACHINE MEMBERS-I,19,F,0.0
19B81A0354,R1922032,KINEMATICS OF MACHINERY,21,F,0.0
19B81A0354,R1922033,APPLIED THERMODYNAMICS,22,F,0.0
19B81A0354,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,18,F,0.0
19B81A0354,R1922035,METAL CUTTING & MACHINE TOOLS,20,F,0.0
19B81A0354,R1922036,DESIGN OF MACHINE MEMBERS-I,17,C,3.0
19B81A0355,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,20,F,0.0
19B81A0355,R1922033,APPLIED THERMODYNAMICS,23,ABSENT,0.0
19B81A0355,R1922035,METAL CUTTING & MACHINE TOOLS,23,ABSENT,0.0
19B81A0357,R1922032,KINEMATICS OF MACHINERY,21,B,3.0
19B81A0357,R1922033,APPLIED THERMODYNAMICS,23,F,0.0
19B81A0357,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,16,D,3.0
19B81A0361,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,17,D,3.0
19B81A0362,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,21,F,0.0
19B81A0362,R1922032,KINEMATICS OF MACHINERY,23,F,0.0
19B81A0362,R1922033,APPLIED THERMODYNAMICS,22,F,0.0
19B81A0362,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,17,F,0.0
19B81A0362,R1922035,METAL CUTTING & MACHINE TOOLS,22,F,0.0
19B81A0362,R1922036,DESIGN OF MACHINE MEMBERS-I,15,F,0.0
19B81A0364,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,20,F,0.0
19B81A0364,R1922033,APPLIED THERMODYNAMICS,15,F,0.0
19B81A0364,R1922035,METAL CUTTING & MACHINE TOOLS,15,F,0.0
19B81A0365,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,22,F,0.0
19B81A0365,R1922032,KINEMATICS OF MACHINERY,21,F,0.0
19B81A0365,R1922033,APPLIED THERMODYNAMICS,18,F,0.0
19B81A0365,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,19,F,0.0
19B81A0365,R1922035,METAL CUTTING & MACHINE TOOLS,18,F,0.0
19B81A0365,R1922036,DESIGN OF MACHINE MEMBERS-I,18,F,0.0
19B81A0367,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,20,ABSENT,0.0
19B81A0367,R1922032,KINEMATICS OF MACHINERY,15,ABSENT,0.0
19B81A0367,R1922033,APPLIED THERMODYNAMICS,16,F,0.0
19B81A0367,R1922034,FLUID MECHANICS & HYDRAULIC MACHINES,10,ABSENT,0.0
19B81A0367,R1922035,METAL CUTTING & MACHINE TOOLS,16,ABSENT,0.0
19B81A0367,R1922036,DESIGN OF MACHINE MEMBERS-I,12,ABSENT,0.0
19B81A0368,R1922032,KINEMATICS OF MACHINERY,20,D,3.0
19B81A0368,R1922033,APPLIED THERMODYNAMICS,23,D,3.0
19B81A0368,R1922035,METAL CUTTING & MACHINE TOOLS,23,C,3.0
19B81A0369,R1922031,COMPLEX VARIABLES & STATISTICAL METHODS,20,ABSENT,0.0
19B81A0369,R1922033,APPLIED THERMODYNAMICS,17,F,0.0
19B81A0369,R1922035,METAL CUTTING & MACHINE TOOLS,18,D,3.0
19B81A0403,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,18,F,0.0
19B81A0405,R1922042,LINEAR CONTROL SYSTEMS,22,C,3.0
19B81A0430,R1922044,ANALOG COMMUNICATIONS,22,C,3.0
19B81A0432,R1922042,LINEAR CONTROL SYSTEMS,22,C,3.0
19B81A0432,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,22,C,3.0
19B81A0450,R1922044,ANALOG COMMUNICATIONS,23,F,0.0
19B81A0462,R1922041,ELECTRONIC CIRCUIT ANALYSIS,22,F,0.0
19B81A0463,R1922042,LINEAR CONTROL SYSTEMS,20,C,3.0
19B81A0465,R1922041,ELECTRONIC CIRCUIT ANALYSIS,20,F,0.0
19B81A0465,R1922042,LINEAR CONTROL SYSTEMS,15,F,0.0
19B81A0465,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,17,F,0.0
19B81A0467,R1922042,LINEAR CONTROL SYSTEMS,20,C,3.0
19B81A0467,R1922045,COMPUTER ARCHITECTURE AND ORGANIZATION,23,A,3.0
19B81A0468,R1922041,ELECTRONIC CIRCUIT ANALYSIS,19,F,0.0
19B81A0468,R1922044,ANALOG COMMUNICATIONS,19,ABSENT,0.0
19B81A0468,R1922045,COMPUTER ARCHITECTURE AND ORGANIZATION,23,F,0.0
19B81A0469,R1922041,ELECTRONIC CIRCUIT ANALYSIS,22,F,0.0
19B81A0471,R1922042,LINEAR CONTROL SYSTEMS,21,F,0.0
19B81A0474,R1922042,LINEAR CONTROL SYSTEMS,17,D,3.0
19B81A0474,R1922045,COMPUTER ARCHITECTURE AND ORGANIZATION,21,B,3.0
19B81A0479,R1922041,ELECTRONIC CIRCUIT ANALYSIS,24,F,0.0
19B81A0479,R1922042,LINEAR CONTROL SYSTEMS,21,F,0.0
19B81A0479,R1922045,COMPUTER ARCHITECTURE AND ORGANIZATION,21,C,3.0
19B81A0480,R1922041,ELECTRONIC CIRCUIT ANALYSIS,23,F,0.0
19B81A0480,R1922042,LINEAR CONTROL SYSTEMS,20,C,3.0
19B81A0482,R1922044,ANALOG COMMUNICATIONS,20,F,0.0
19B81A0485,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,22,F,0.0
19B81A0485,R1922044,ANALOG COMMUNICATIONS,21,C,3.0
19B81A0487,R1922042,LINEAR CONTROL SYSTEMS,18,F,0.0
19B81A0487,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,21,F,0.0
19B81A0488,R1922041,ELECTRONIC CIRCUIT ANALYSIS,18,F,0.0
19B81A0488,R1922042,LINEAR CONTROL SYSTEMS,14,F,0.0
19B81A0488,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,21,F,0.0
19B81A0488,R1922044,ANALOG COMMUNICATIONS,21,F,0.0
19B81A0489,R1922042,LINEAR CONTROL SYSTEMS,22,F,0.0
19B81A0490,R1922042,LINEAR CONTROL SYSTEMS,19,C,3.0
19B81A0491,R1922042,LINEAR CONTROL SYSTEMS,10,F,0.0
19B81A0491,R1922045,COMPUTER ARCHITECTURE AND ORGANIZATION,21,F,0.0
19B81A0494,R1922042,LINEAR CONTROL SYSTEMS,18,F,0.0
19B81A0496,R1922042,LINEAR CONTROL SYSTEMS,15,D,3.0
19B81A0497,R1922042,LINEAR CONTROL SYSTEMS,18,F,0.0
19B81A04A1,R1922041,ELECTRONIC CIRCUIT ANALYSIS,7,F,0.0
19B81A04A1,R1922042,LINEAR CONTROL SYSTEMS,16,F,0.0
19B81A04A1,R1922044,ANALOG COMMUNICATIONS,13,F,0.0
19B81A04A3,R1922041,ELECTRONIC CIRCUIT ANALYSIS,20,F,0.0
19B81A04A3,R1922042,LINEAR CONTROL SYSTEMS,18,F,0.0
19B81A04A3,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,22,F,0.0
19B81A04A3,R1922045,COMPUTER ARCHITECTURE AND ORGANIZATION,23,C,3.0
19B81A04A8,R1922041,ELECTRONIC CIRCUIT ANALYSIS,20,F,0.0
19B81A04A8,R1922042,LINEAR CONTROL SYSTEMS,21,F,0.0
19B81A04A8,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,23,F,0.0
19B81A04A8,R1922044,ANALOG COMMUNICATIONS,20,F,0.0
19B81A04A8,R1922045,COMPUTER ARCHITECTURE AND ORGANIZATION,22,C,3.0
19B81A04A8,R1922046,MANAGEMENT AND ORGANIZATIONAL BEHAVIOR,24,B,3.0
19B81A04B8,R1922041,ELECTRONIC CIRCUIT ANALYSIS,21,F,0.0
19B81A04C9,R1922042,LINEAR CONTROL SYSTEMS,21,ABSENT,0.0
19B81A04D2,R1922042,LINEAR CONTROL SYSTEMS,20,F,0.0
19B81A04D3,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,21,F,0.0
19B81A04D3,R1922044,ANALOG COMMUNICATIONS,19,F,0.0
19B81A04E1,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,23,F,0.0
19B81A04E1,R1922044,ANALOG COMMUNICATIONS,23,ABSENT,0.0
19B81A04E2,R1922041,ELECTRONIC CIRCUIT ANALYSIS,21,F,0.0
19B81A04E7,R1922041,ELECTRONIC CIRCUIT ANALYSIS,16,F,0.0
19B81A04E7,R1922042,LINEAR CONTROL SYSTEMS,18,ABSENT,0.0
19B81A04E7,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,21,F,0.0
19B81A04F2,R1922041,ELECTRONIC CIRCUIT ANALYSIS,19,F,0.0
19B81A04F2,R1922042,LINEAR CONTROL SYSTEMS,21,F,0.0
19B81A04F4,R1922044,ANALOG COMMUNICATIONS,22,F,0.0
19B81A04F8,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,19,B,3.0
19B81A04G1,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,20,F,0.0
19B81A04G3,R1922041,ELECTRONIC CIRCUIT ANALYSIS,17,F,0.0
19B81A04G3,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,22,C,3.0
19B81A04G3,R1922044,ANALOG COMMUNICATIONS,22,D,3.0
19B81A04G4,R1922042,LINEAR CONTROL SYSTEMS,20,F,0.0
19B81A04G4,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,22,F,0.0
19B81A04G5,R1922042,LINEAR CONTROL SYSTEMS,22,F,0.0
19B81A04H0,R1922041,ELECTRONIC CIRCUIT ANALYSIS,14,F,0.0
19B81A04H0,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,20,F,0.0
19B81A04H5,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,24,C,3.0
19B81A04H7,R1922043,ELECTROMAGNETIC WAVES AND TRANSMISSION L,20,ABSENT,0.0
19B81A04I4,R1922041,ELECTRONIC CIRCUIT ANALYSIS,17,F,0.0
19B81A04I4,R1922044,ANALOG COMMUNICATIONS,20,D,3.0
19B81A0504,R1922051,PROBABILITY AND STATISTICS,19,F,0.0
19B81A0504,R1922052,JAVA PROGRAMMING,13,F,0.0
19B81A0504,R1922054,DATABASE MANAGEMENT SYSTEMS,18,F,0.0
19B81A0504,R1922055,FORMAL LANGUAGES AND AUTOMATA THEORY,21,F,0.0
19B81A0510,R1922055,FORMAL LANGUAGES AND AUTOMATA THEORY,20,B,3.0
19B81A0512,R1922052,JAVA PROGRAMMING,13,F,0.0
19B81A0512,R1922053,OPERATING SYSTEMS,18,D,3.0
19B81A0512,R1922054,DATABASE MANAGEMENT SYSTEMS,18,D,4.0
19B81A0512,R1922055,FORMAL LANGUAGES AND AUTOMATA THEORY,22,F,0.0
19B81A0520,R1922055,FORMAL LANGUAGES AND AUTOMATA THEORY,22,C,3.0
19B81A0522,R1922052,JAVA PROGRAMMING,14,F,0.0
19B81A0522,R1922053,OPERATING SYSTEMS,19,D,3.0
19B81A0522,R1922054,DATABASE MANAGEMENT SYSTEMS,16,F,0.0
19B81A0522,R1922055,FORMAL LANGUAGES AND AUTOMATA THEORY,22,F,0.0
19B81A0525,R1922052,JAVA PROGRAMMING,17,F,0.0
19B81A0526,R1922052,JAVA PROGRAMMING,14,F,0.0
19B81A0528,R1922052,JAVA PROGRAMMING,19,D,3.0
19B81A0529,R1922052,JAVA PROGRAMMING,18,F,0.0
19B81A0530,R1922052,JAVA PROGRAMMING,14,F,0.0
19B81A0530,R1922053,OPERATING SYSTEMS,19,D,3.0
19B81A0530,R1922055,FORMAL LANGUAGES AND AUTOMATA THEORY,22,F,0.0
19B81A0532,R1922055,FORMAL LANGUAGES AND AUTOMATA THEORY,23,C,3.0
19B81A0534,R1922052,JAVA PROGRAMMING,13,F,0.0
19B81A0534,R1922053,OPERATING SYSTEMS,18,D,3.0
